Sensor,gyroscope,gyroscope,gyroscope,gyroscope,accelerometer,accelerometer,accelerometer,accelerometer,rotation_vector,rotation_vector,rotation_vector,rotation_vector,linear_acceleration,linear_acceleration,linear_acceleration,linear_acceleration,gravity,gravity,gravity,gravity
Axis,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w
3581204603108,0.050701816,0.0036651916,-0.039095376,,3.2202013,5.899313,-7.4124484,,0.49903274,-0.785082,-0.17720075,0.3212673,0.007695675,0.026305676,-0.245996,,3.2125056,5.8730073,-7.1664524,
3581229058146,0.016493361,-0.017104227,-0.012217305,,3.3279405,5.901707,-7.3047094,,0.49951208,-0.7849042,-0.17666613,0.32125103,0.11323357,0.034687996,-0.1343441,,3.214707,5.867019,-7.1703653,
3581245436377,0.029321533,-0.09101892,-0.029321533,,3.442862,5.887342,-7.1275387,,0.4988413,-0.78543955,-0.17693499,0.32083672,0.23147058,0.022605896,0.046181202,,3.2113914,5.864736,-7.17372,
3581261724261,0.04886922,-0.092240654,-0.03481932,,3.394978,5.8586116,-7.0940194,,0.5000495,-0.78490835,-0.1765716,0.3204558,0.19342303,-0.0025539398,0.08700991,,3.201555,5.8611655,-7.1810293,
3581286267723,0.030543262,-0.0012217305,-0.032375857,,3.3686419,5.899313,-7.2065473,,0.5007817,-0.78474385,-0.17616834,0.31993657,0.17468667,0.0454216,-0.016208172,,3.1939552,5.8538914,-7.190339,
3581310552799,0.014660766,0.014660766,-0.040317107,,3.2082303,5.947197,-7.117962,,0.4999203,-0.7852811,-0.17637756,0.31985062,0.011302948,0.09447527,0.072013855,,3.1969273,5.8527217,-7.1899757,
3581327102338,0.007330383,-0.008552114,-0.026267206,,3.0621839,5.9448028,-7.062895,,0.49933156,-0.7856265,-0.17672092,0.3197324,-0.1337626,0.09044647,0.12618351,,3.1959465,5.8543563,-7.1890783,
3581343391415,0.002443461,-0.028710667,-0.007330383,,3.0909145,5.913678,-7.07726,,0.50002366,-0.7851921,-0.17659745,0.31978616,-0.101947546,0.057861328,0.112000465,,3.192862,5.855817,-7.1892605,
3581367720107,-0.015882496,-0.032986723,-0.0036651916,,3.0597897,5.973533,-6.8761473,,0.498512,-0.7861126,-0.17760739,0.3193251,-0.12709808,0.11294603,0.31187773,,3.1868877,5.860587,-7.188025,
3581384051415,-0.007330383,-0.014049901,-0.0036651916,,2.9999347,6.069301,-6.8330517,,0.49867862,-0.78595626,-0.17773844,0.31937677,-0.11547637,0.19132376,0.35101604,,3.1834278,5.867062,-7.1842732,
3581408546222,-0.0030543262,0.04520403,0.002443461,,2.9281087,6.167464,-6.825869,,0.49965045,-0.7848386,-0.17828241,0.32030183,-0.2552545,0.28422165,0.34518862,,3.1833632,5.883242,-7.1710577,
3581425047145,0.017104227,0.025045475,0.02565634,,3.1004913,6.2584434,-6.7971387,,0.49801743,-0.7854626,-0.17951955,0.32062444,-0.085387945,0.36106825,0.36118412,,3.1858792,5.897375,-7.158323,
3581449371607,0.04520403,-0.03481932,0.02076942,,3.335123,6.232107,-6.933608,,0.49605164,-0.7863233,-0.18103537,0.32070956,0.15250587,0.31342554,0.20855999,,3.1826172,5.9186816,-7.142168,
3581457752491,0.058643065,-0.09468412,0.0036651916,,3.371036,6.244078,-6.9862804,,0.49560422,-0.78635573,-0.18194312,0.32080805,0.19177008,0.31957006,0.1525464,,3.179266,5.924508,-7.138827,
3581482197068,0.058643065,-0.11484267,-0.02076942,,3.442862,6.172252,-7.153875,,0.4962288,-0.7857869,-0.18279503,0.32075226,0.27855444,0.2332573,-0.020436764,,3.1643076,5.938995,-7.133438,
3581506519299,0.053145275,-0.06291912,-0.015882496,,3.560178,6.0645127,-7.050924,,0.4898357,-0.78966916,-0.18597452,0.31921354,0.40290523,0.117357254,0.07883215,,3.1572728,5.9471555,-7.129756,
