Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
656551168554153,0.6213349,-0.2627475,0.06519127,-0.0052264165,0.0007556933,-0.15415286
656551184953653,0.7782061,-0.2842339,0.096315384,-0.0052218186,0.00080544106,-0.15157665
656551209530730,-0.20671791,0.28238583,0.029270172,-0.0051528085,0.0009864297,-0.1499673
656551225905037,0.0055844137,0.054356977,0.101091385,-0.005111906,0.0010601559,-0.14936176
656551242259499,-0.30265257,0.0568441,0.08433342,-0.005114192,0.0010811179,-0.14728196
656551275001691,0.028097734,0.016950525,0.12983036,-0.0051783337,0.00094082585,-0.13900161
656551291383691,0.125686,-0.05447063,0.13462257,-0.005206734,0.0008923163,-0.13473903
656551307756037,0.15642166,-0.06582986,0.12505245,-0.005243486,0.00085770345,-0.13111548
656551324124460,0.092988335,-0.058313288,0.09153652,-0.005255624,0.00082110363,-0.129722
656551348709306,-0.8752178,0.3964779,0.055623055,-0.005259089,0.0008362319,-0.12428393
656551365083652,-0.92252207,0.41092086,0.012509346,-0.0050972234,0.0011951494,-0.120561235
656551389609460,-1.1427208,0.63222903,0.17288494,-0.004712368,0.0018509415,-0.11275563
656551405980575,-0.26307228,0.31664434,0.07470703,-0.0046209022,0.0018580771,-0.10604489
656551430566729,-0.32234812,0.14188789,0.1465187,-0.004506355,0.001946073,-0.09499757
656551446954344,-0.030897764,0.04817423,0.101023674,-0.0045060734,0.0018789418,-0.08771855
656551471514883,0.17854674,-0.19848023,0.07947922,-0.004516217,0.0018949365,-0.0784042
656551487870959,-0.18929969,-0.08254128,0.019636154,-0.0045758076,0.0019159319,-0.07255298
656551512420882,0.17077863,-0.12461162,0.12022877,-0.0047654016,0.0019300272,-0.06274195
656551528811267,0.37260467,-0.25000885,0.12505531,-0.005124097,0.0014625393,-0.05561361
656551545185844,0.10467228,-0.19259483,0.07964897,-0.0056486847,0.0008517417,-0.048623923
656551561542728,-0.10281707,-0.05155392,0.091695786,-0.0060227867,0.00050350453,-0.04185802
656551594314997,-0.4491167,0.069917575,0.12524319,-0.006107376,0.00083314884,-0.028131803
656551635208459,0.013256904,-0.050630867,0.15879726,-0.006107376,0.00083314884,-0.028131803
656551643402459,0.20053852,-0.21091646,0.041484833,-0.006107376,0.00083314884,-0.028131803
656551667949689,0.8893315,-0.46875963,0.1540184,-0.006143313,0.0015890443,0.00865371
656551692547766,-0.014171999,-0.10959425,0.08461475,-0.006290175,0.0014442876,0.024313256
656551708904151,-0.016519435,-0.023775242,0.09899807,-0.0063988967,0.0012800198,0.030895578
656551725283535,-0.075115845,0.01769498,0.099004745,-0.0064441897,0.0011785277,0.037476655
656551749797881,-0.08679765,-0.00534679,0.075068474,-0.0064962762,0.0010054983,0.047335904
656551766199458,-0.043612786,0.022519276,0.10620594,-0.0065743215,0.0008410566,0.053925153
656551790767651,-0.19361475,-0.024250358,0.10622311,-0.006641173,0.00081930566,0.0631123
656551823506612,-0.3373005,-0.023761153,0.091900826,-0.006721814,0.00134107,0.075608924
656551839903381,0.05633209,-0.20322327,0.058428764,-0.0068222913,0.0020303095,0.08583044
656551864440881,-0.32655784,-0.023675442,0.14471722,-0.0069776443,0.0023654099,0.092924505
656551888965381,0.028199576,-0.06435895,0.14479828,-0.007167791,0.0026557422,0.10460815
656551905326112,0.047919676,-0.027451158,0.15919685,-0.0072553614,0.002744838,0.112255014
656551921723612,0.09965742,-0.06566121,0.13287354,-0.0072898683,0.0027628548,0.11981033
656551938114419,0.3264445,-0.14925283,0.15443611,-0.0073319343,0.0027945824,0.12722404
656551962670688,0.06577138,-0.09460187,0.080228806,-0.0075337146,0.002337808,0.13777629
